"Elévation 606 ft (22 hPa)
SR 05:25 Z, MCT 04:50 Z",RNav,Position,MSA,Level,TAS,TrkT,TrkM,Wind,HdgM,GS,Dist,Time
Sierra (EPLL),LOZ 228/8,N514125 E0192636,2600,2000,94,138,132,238/20,147,75,"2,5 (2,5)",2
Romeo (EPLL),LOZ 205/9,N513820 E0192955,2100,2000,94,146,140,243/23,154,94,"3,7 (6,3)",2
November (EPPT),LOZ 165/20,N512637 E0194324,2300,2000,94,144,138,243/23,152,94,14 (21),9
EPPT Piotrków Trybunalski,LOZ 169/24,N512257 E0194119,2300,2000,94,200,193,241/21,202,77,"3,9 (25)",3
Sierra (EPPT),LOZ 172/29,N511758 E0193931,2100,2000,94,193,186,241/21,196,79,"5,1 (30)",4
Gorzkowice,LOZ 177/34,N511255 E0193547,2300,2000,94,205,198,242/21,206,76,"5,6 (35)",4
Echo (EPRU),KAX 015/29,N505518 E0192124,2400,2000,94,207,201,248/24,210,75,20 (55),16
EPRU Rudniki k/Częstochowy,KAX 005/25,N505305 E0191211,2200,2000,94,249,243,239/24,240,70,"6,2 (61)",5
Sierra (EPRU),KAX 014/22,N504943 E0191723,2400,2000,94,136,130,240/24,144,97,"4,7 (66)",3
Juliet (EPKT),KAX 016/13,N504018 E0191218,2400,2000,94,199,193,240/24,202,75,10 (76),8
Whiskey (EPKT),KAX 345/6,N503500 E0190330,2100,2000,94,227,220,241/24,224,71,"7,7 (84)",7
Zendek,KAX 344/1,N502952 E0190445,2100,2000,94,171,165,241/23,179,83,"5,2 (89)",4
EPKT KATOWICE/Pyrzowice,KAX 217/0,N502827 E0190448,2000,2000,94,179,173,239/23,185,80,"1,4 (90)",1
X-ray (EPKT),KAX 180/1,N502714 E0190453,1900,2000,94,178,171,239/23,184,81,"1,2 (92)",1
"Golf (EPKT,EPGL,EPKM)",KAX 189/5,N502413 E0190318,2100,2000,94,198,192,239/23,202,75,"3,2 (95)",3
N503059 E0192442,KAX 073/13,N503059 E0192442,2600,2000,94,063,057,239/23,058,117,15 (110),8
N503834 E0194725,KAX 064/29,N503834 E0194725,2600,2000,94,062,056,242/23,056,117,16 (126),8
N504838 E0201726,KAK 018/48,N504838 E0201726,2200,2000,94,062,056,243/25,055,118,22 (148),11
Kilo (EPKA),RDO 215/39,N505431 E0203447,2200,2000,94,062,055,244/25,055,119,12 (160),6
EPKA MASŁÓW k/Kielc,RDO 207/36,N505349 E0204354,2700,2000,94,097,090,241/23,099,112,"5,8 (166)",3
Zulu (EPKA),RDO 215/34,N505829 E0203939,2800,2000,94,330,324,241/23,309,91,"5,4 (172)",4
N511013 E0202023,RDO 242/37,N511013 E0202023,2200,2000,94,314,308,240/23,294,84,17 (188),12
N511652 E0200906,LOZ 141/36,N511652 E0200906,1800,2000,94,313,307,251/23,294,81,"9,7 (198)",7
N512936 E0194626,LOZ 157/18,N512936 E0194626,2300,2000,94,312,306,252/24,293,79,19 (217),14
Romeo (EPLL),LOZ 205/9,N513820 E0192955,2300,2000,94,310,304,246/23,291,81,14 (231),10
Sierra (EPLL),LOZ 228/8,N514125 E0192636,1700,2000,94,326,320,247/23,306,87,"3,7 (234)",3
EPLL Łódź,LOZ 244/9,N514319 E0192353,2600,2000,94,318,312,259/23,301,87,"2,5 (237)",2
"Elévation 606 ft (22 hPa)
SS 15:26 Z, ECT 16:01 Z",,,,,,,,,,,237,2:39

TWR,ŁÓDŹ TOWER,"124,230"
ATIS,ATIS,"135,680"
TWR,Łódź Delivery,"120,005"
EPLL,Warszawa Information,"119,450"
A/G,PIOTRKÓW RADIO,"119,305"
A/G,Rudniki Radio,"122,315"
EPKK,Krakow Information,"119,275"
TWR,KATOWICE TOWER,"129,255"
TWR,KATOWICE DELIVERY,"121,805"
ATIS,ATIS,"120,230"
APP,KRAKÓW APPROACH,"121,075"
APP,KRAKÓW APPROACH,"126,975"
APP,KRAKÓW APPROACH,"135,405"
A/G,Irządze,"123,450"
A/G,MASŁÓW RADIO,"118,080"
Krakow Flight Information Service,Krakow Information,"119,950"
EPLL,Warszawa Information,"128,575"

LOD (Lodz),,"110,500"
LOZ (Wiaczyn Dolny),,"112,400"
KAX (Katowice/Pyrzowice),,"114,800"
IKTO (Katowice/Pyrzowice),,"109,900"
KAK (Krakow Balice),,"112,800"
RDO (Radom),,"113,850"
